Company Name,Location,Phone,URL
Healthy Next Solutions Private Limited,Gurugram,"08044016439,4227",https://www.indiamart.com/healthy-next-solutions-private-limited/?pos=11&kwd=healthcare&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_0_P-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:9-0-0-0-0-1-0|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Your Service Partners,Gurugram,"08045168636,8327",https://www.indiamart.com/your-service-partners/?pos=12&kwd=healthcare&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_0_P-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:9-0-0-0-0-1-0|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Being Healthy Pharmacy,Gurugram,"08047523647,5072",https://www.indiamart.com/being-healthy-pharmacy/?pos=13&kwd=healthcare&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:QGP|rsf:gd|ri:QGP_C_0_P-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:9-0-0-0-0-1-0|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Indivation Exports Private Limited,Gurugram,"08048954708,1888",https://www.indiamart.com/indivation-exports-private-limited/?pos=14&kwd=healthcare&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:QGP|rsf:gd|ri:QGP_C_0_P-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:9-0-0-0-0-1-0|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Commivik Infosystem Private Limited,Bahadurgarh,"08044016085,8818",https://www.indiamart.com/commivik-infosystem-private-limited-bahadurgarh/?pos=15&kwd=healthcare&tags=rk:C||dt:27|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:9-0-0-0-0-1-0|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Sakaar Corporate Services Pvt. Ltd.,New Delhi,"08044464584,6318",https://www.indiamart.com/sakaar-services/?pos=16&kwd=healthcare&tags=rk:C||dt:28|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:9-0-0-0-0-1-0|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Bajrang Medicos,New Delhi,"08044464877,8343",https://www.indiamart.com/bajrang-medicos/?pos=17&kwd=healthcare&tags=rk:C||dt:28|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:9-0-0-0-0-1-0|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Nanda Springs,New Delhi,"08047668921,1461",https://www.indiamart.com/nanda-springs/?pos=18&kwd=healthcare&tags=rk:C||dt:28|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:9-0-0-0-0-1-0|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Edifice Consultants Private Limited,New Delhi,"08046052889,2728",https://www.indiamart.com/edifice-consultants-private-limited/?pos=19&kwd=healthcare&tags=rk:C||dt:28|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:9-0-0-0-0-1-0|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Quantzo Health Services,New Delhi,"08046072893,5615",https://www.indiamart.com/quantzo-health-services/?pos=20&kwd=healthcare&tags=rk:C||dt:28|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:9-0-0-0-0-1-0|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
